"","Sub_District","date","vaccintion_rate"
"321","TUGU SELATAN",2021-07-31,48.3410868565002
"322","TUGU SELATAN",2022-03-31,82.5647973007515
"323","TUGU SELATAN",2022-05-31,83.06835028884
"324","TUGU SELATAN",2021-10-31,76.9055774244671
"325","RAWA BADAK SELATAN",2022-02-27,81.3864719410133
"326","RAWA BADAK SELATAN",2022-04-30,82.3490362502667
"327","RAWA BADAK SELATAN",2022-06-30,82.6833258256478
"328","RAWA BADAK SELATAN",2021-11-30,77.382109580597
"329","RAWA BADAK SELATAN",2021-09-30,71.4905521705114
"330","RAWA BADAK SELATAN",2021-08-31,60.3736456530501
"331","RAWA BADAK SELATAN",2021-12-31,79.5229853718675
"332","RAWA BADAK SELATAN",2022-01-31,81.1043410227839
"333","RAWA BADAK SELATAN",2021-07-31,46.5753099883828
"334","RAWA BADAK SELATAN",2022-03-31,81.9128002086346
"335","RAWA BADAK SELATAN",2022-05-31,82.4438701723607
"336","RAWA BADAK SELATAN",2021-10-31,75.4617226581948
"337","CILINCING",2022-02-27,80.1852828544567
"338","CILINCING",2022-04-30,81.3845765782293
"339","CILINCING",2022-06-30,81.7468871104589
"340","CILINCING",2021-11-30,77.2042468297828
"341","CILINCING",2021-09-30,71.7122612304799
"342","CILINCING",2021-08-31,61.5148249214612
"343","CILINCING",2021-12-31,78.6305579123575
"344","CILINCING",2022-01-31,79.9192827168704
"345","CILINCING",2021-07-31,47.3526106996262
"346","CILINCING",2022-03-31,80.8319383613474
"347","CILINCING",2022-05-31,81.5198697516568
"348","CILINCING",2021-10-31,75.2138320071545
"349","WIJAYA KUSUMA",2022-02-27,82.2006472491909
"350","WIJAYA KUSUMA",2022-04-30,83.1124467046797
"351","WIJAYA KUSUMA",2022-06-30,83.3204910874814
"352","WIJAYA KUSUMA",2021-11-30,80.1176349720039
"353","WIJAYA KUSUMA",2021-09-30,73.9379462680433
"354","WIJAYA KUSUMA",2021-08-31,62.785739970206
"355","WIJAYA KUSUMA",2021-12-31,81.1784044793754
"356","WIJAYA KUSUMA",2022-01-31,81.9951713155597
"357","WIJAYA KUSUMA",2021-07-31,50.4700261981815
"358","WIJAYA KUSUMA",2022-03-31,82.693789489906
"359","WIJAYA KUSUMA",2022-05-31,83.1946370781322
"360","WIJAYA KUSUMA",2021-10-31,78.3556788411157
"361","KALIBARU",2022-02-27,77.4998522545949
"362","KALIBARU",2022-04-30,78.8266059925536
"363","KALIBARU",2022-06-30,79.3599669050293
"364","KALIBARU",2021-11-30,73.8461083860292
"365","KALIBARU",2021-09-30,66.9729921399444
"366","KALIBARU",2021-08-31,59.0981620471603
"367","KALIBARU",2021-12-31,75.718042668873
"368","KALIBARU",2022-01-31,76.7951066721825
"369","KALIBARU",2021-07-31,43.6691093906979
"370","KALIBARU",2022-03-31,78.2474440044915
"371","KALIBARU",2022-05-31,78.986171030081
"372","KALIBARU",2021-10-31,71.7569883576621
"373","ROROTAN",2022-02-27,83.1045406546991
